"","age","workclass","fnlwgt","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
"1",90,NA,77053,9,7,NA,2,5,1,0,4356,40,40,1
"2",82,5,132870,9,7,5,2,5,1,0,4356,18,40,1
"3",66,NA,186061,10,7,NA,5,3,1,0,4356,40,40,1
"4",54,5,140359,4,1,8,5,5,1,0,3900,40,40,1
"5",41,5,264663,10,6,11,4,5,1,0,3900,40,40,1
"6",34,5,216864,9,1,9,5,5,1,0,3770,45,40,1
"7",38,5,150601,6,6,2,5,5,2,0,3770,40,40,1
"8",74,8,88638,16,5,11,3,5,1,0,3683,20,40,2
"9",68,2,422013,9,1,11,2,5,1,0,3683,40,40,1
"10",41,5,70037,10,5,4,5,5,2,0,3004,60,NA,2
"11",45,5,172274,16,1,11,5,3,1,0,3004,35,40,2
"12",38,7,164526,15,5,11,2,5,2,0,2824,45,40,2
"13",52,5,129177,13,7,9,2,5,1,0,2824,20,40,2
"14",32,5,136204,14,6,5,2,5,2,0,2824,55,40,2
"15",51,NA,172175,16,5,NA,2,5,2,0,2824,40,40,2
"16",46,5,45363,15,1,11,2,5,2,0,2824,40,40,2
"17",45,5,172822,7,1,15,2,5,2,0,2824,76,40,2
"18",57,5,317847,14,1,5,2,5,2,0,2824,50,40,2
"19",22,5,119592,12,5,7,2,3,2,0,2824,40,NA,2
"20",34,5,203034,13,6,13,2,5,2,0,2824,50,40,2
"21",37,5,188774,13,5,5,2,5,2,0,2824,40,40,2
"22",29,5,77009,7,6,13,2,5,1,0,2754,42,40,1
"23",61,5,29059,9,1,13,5,5,1,0,2754,25,40,1
"24",51,5,153870,10,3,15,1,5,2,0,2603,40,40,1
"25",61,NA,135285,9,3,NA,1,5,2,0,2603,32,40,1
"26",21,5,34310,11,3,4,1,5,2,0,2603,40,40,1
"27",33,5,228696,2,3,4,2,5,2,0,2603,32,27,1
"28",49,5,122066,3,3,9,1,5,2,0,2603,40,13,1
"29",37,6,107164,6,5,15,2,5,2,0,2559,50,40,2
"30",38,5,175360,6,5,11,2,5,2,0,2559,90,40,2
"31",23,5,44064,10,6,9,2,5,2,0,2559,40,40,2
"32",59,6,107287,6,7,5,5,5,1,0,2559,50,40,2
"33",52,5,198863,15,1,5,2,5,2,0,2559,60,40,2
"34",51,5,123011,13,1,5,2,5,2,0,2559,50,40,2
"35",60,7,205246,9,5,5,2,3,2,0,2559,50,40,2
"36",63,2,39181,16,1,5,2,5,1,0,2559,60,40,2
"37",53,5,149650,9,5,13,2,5,2,0,2559,48,40,2
"38",51,5,197163,15,5,11,2,5,1,0,2559,50,40,2
"39",37,7,137527,16,5,11,2,5,1,0,2559,60,40,2
"40",54,5,161691,14,1,11,2,5,1,0,2559,40,40,2
"41",44,5,326232,13,1,5,5,5,2,0,2547,50,40,2
"42",43,5,115806,14,1,5,5,5,1,0,2547,40,40,2
"43",51,5,115066,10,1,2,5,5,1,0,2547,40,40,2
"44",43,5,289669,14,1,11,5,5,1,0,2547,40,40,2
"45",71,NA,100820,9,3,NA,1,5,2,0,2489,15,40,1
"46",48,5,121253,13,4,13,5,5,1,0,2472,70,40,2
"47",71,5,110380,9,3,13,1,5,2,0,2467,52,40,1
"48",73,7,233882,9,3,6,1,2,2,0,2457,40,41,1
"49",68,NA,192052,10,3,NA,6,5,1,0,2457,40,40,1
"50",67,NA,174995,10,3,NA,1,5,2,0,2457,40,40,1
"51",40,7,335549,15,5,11,2,5,2,0,2444,45,40,2
"52",50,5,237729,9,7,13,2,5,1,0,2444,72,40,2
"53",51,8,68898,11,1,14,2,5,2,0,2444,39,40,2
"54",42,5,107276,10,5,5,2,5,1,0,2444,40,40,2
"55",39,5,141584,14,5,13,2,5,2,0,2444,45,40,2
"56",32,5,207668,13,5,5,3,5,2,0,2444,50,40,2
"57",53,5,313243,10,6,4,2,5,2,0,2444,45,40,2
"58",40,3,147372,10,5,12,2,5,2,0,2444,40,40,2
"59",38,5,237608,13,5,13,2,5,1,0,2444,45,40,2
"60",33,5,194901,11,6,4,2,5,2,0,2444,42,40,2
"61",43,5,155106,12,1,4,2,5,2,0,2444,70,40,2
"62",50,6,121441,7,5,5,3,5,2,0,2444,40,40,2
"63",44,5,162028,10,3,2,6,5,1,0,2415,6,40,2
"64",51,7,160724,13,3,13,1,2,2,0,2415,40,4,2
"65",41,5,132222,15,3,11,1,5,2,0,2415,40,40,2
"66",60,6,226355,11,3,8,1,5,2,0,2415,70,NA,2
"67",37,5,329980,14,3,5,1,5,2,0,2415,60,40,2
"68",55,6,124137,15,3,11,1,5,2,0,2415,35,13,2
"69",39,6,329980,13,3,13,1,5,2,0,2415,60,40,2
"70",42,6,187702,15,3,11,1,5,2,0,2415,60,40,2
"71",49,5,199029,13,3,13,1,5,2,0,2415,55,40,2
"72",47,7,145290,9,3,5,1,5,2,0,2415,50,40,2
"73",41,3,297248,15,3,11,1,5,2,0,2415,45,40,2
"74",55,6,227856,13,3,5,1,5,2,0,2415,50,40,2
"75",39,5,179731,14,3,5,6,5,1,0,2415,65,40,2
"76",42,5,154374,13,3,5,1,5,2,0,2415,60,40,2
"77",41,NA,27187,11,3,NA,1,5,2,0,2415,12,40,2
"78",46,5,326857,14,3,13,1,5,2,0,2415,65,40,2
"79",40,5,160369,14,3,5,1,5,2,0,2415,45,40,2
"80",32,5,396745,13,3,11,1,5,2,0,2415,48,40,2
"81",41,6,151089,10,3,5,1,5,2,0,2415,55,40,2
"82",60,6,336188,15,3,11,1,5,2,0,2415,80,40,2
"83",31,5,279015,14,3,5,1,5,2,0,2415,70,37,2
"84",58,7,43221,10,3,6,1,5,2,0,2415,40,40,2
"85",37,6,30529,13,3,13,1,5,2,0,2415,50,40,2
"86",44,7,201742,13,3,5,1,5,2,0,2415,50,40,2
"87",39,7,218490,15,3,11,1,5,2,0,2415,50,NA,2
"88",43,2,156996,15,3,11,1,2,2,0,2415,55,NA,2
"89",55,6,298449,13,3,5,1,5,2,0,2415,50,40,2
"90",44,6,191712,14,3,11,1,5,2,0,2415,55,40,2
"91",39,5,198654,15,3,11,1,2,2,0,2415,67,20,2
"92",46,7,102308,13,3,13,1,5,2,0,2415,40,40,2
"93",39,5,348521,10,3,6,1,5,2,0,2415,99,40,2
"94",62,6,56248,13,3,6,1,5,2,0,2415,60,40,2
"95",31,7,252752,9,3,9,6,5,1,0,2415,40,40,2
"96",46,5,192963,13,3,2,1,2,2,0,2415,35,31,2
"97",46,7,198759,15,3,11,1,5,2,0,2415,80,40,2
"98",39,6,143123,11,3,4,1,5,2,0,2415,40,40,2
"99",39,5,237713,15,3,13,1,5,2,0,2415,99,40,2
"100",59,5,81929,16,3,11,1,5,2,0,2415,45,40,2
"101",50,6,167793,15,3,11,1,5,2,0,2415,60,40,2
"102",46,5,456062,16,3,11,1,5,2,0,2415,55,40,2
"103",53,7,105478,13,3,5,1,5,2,0,2415,40,40,2
"104",50,7,42402,15,3,11,1,5,2,0,2415,30,40,2
"105",41,6,114580,15,3,5,6,5,1,0,2415,55,40,2
"106",36,5,346478,13,3,13,1,5,2,0,2415,45,40,2
"107",38,5,187870,15,3,11,1,5,2,0,2415,90,40,2
"108",54,5,35576,10,3,13,1,5,2,0,2415,50,40,2
"109",50,5,102346,13,3,5,6,5,1,0,2415,20,40,2
"110",47,5,148995,13,3,5,1,5,2,0,2415,60,40,2
"111",47,6,102308,15,3,11,1,5,2,0,2415,45,40,2
"112",67,5,105252,13,7,5,2,5,2,0,2392,40,40,2
"113",67,6,106175,13,3,5,1,5,2,0,2392,75,40,2
"114",72,7,52138,16,3,11,1,5,2,0,2392,25,40,2
"115",72,NA,118902,16,3,NA,1,5,2,0,2392,6,40,2
"116",46,6,191978,14,3,5,1,5,2,0,2392,50,40,2
"117",78,6,188044,13,3,5,1,5,2,0,2392,40,40,2
"118",71,6,66624,13,3,5,1,5,2,0,2392,60,40,2
"119",83,6,153183,13,3,5,1,5,2,0,2392,55,40,2
"120",68,5,211287,14,3,5,1,5,2,0,2392,40,40,2
"121",26,5,181655,11,3,2,1,5,2,0,2377,45,40,1
"122",68,8,235882,16,3,11,1,5,2,0,2377,60,40,2
"123",49,6,158685,9,3,2,6,5,1,0,2377,40,40,2
"124",36,5,370767,9,3,11,1,5,2,0,2377,60,40,1
"125",70,7,155141,13,3,4,1,5,2,0,2377,12,40,2
"126",27,5,156516,10,3,2,6,3,1,0,2377,20,40,1
"127",35,3,177305,10,3,5,1,5,2,0,2377,40,40,1
"128",23,5,162945,9,3,13,1,5,2,0,2377,40,40,1
"129",81,5,177408,9,3,5,1,5,2,0,2377,26,40,2
"130",66,7,427422,16,3,13,1,5,2,0,2377,25,40,2
"131",71,5,152307,9,3,5,1,5,2,0,2377,45,40,2
"132",68,5,218637,10,3,13,1,5,2,0,2377,55,40,2
"133",68,8,202699,14,3,11,1,5,2,0,2377,42,NA,2
"134",65,NA,240857,13,3,NA,1,5,2,0,2377,40,40,2
"135",52,5,222405,9,3,13,1,3,2,0,2377,40,40,1
"136",40,6,110862,12,3,4,1,5,2,0,2377,50,40,1
"137",68,NA,257269,13,3,NA,1,5,2,0,2377,35,40,2
"138",21,5,377931,10,3,5,1,5,2,0,2377,48,40,1
"139",35,5,192923,9,3,4,1,5,2,0,2377,40,40,1
"140",70,6,207938,13,3,5,1,5,2,0,2377,50,40,2
"141",61,7,36671,9,3,6,1,5,2,0,2352,50,40,1
"142",65,6,81413,9,3,6,1,5,2,0,2352,65,40,1
"143",46,5,214955,3,1,4,2,5,1,0,2339,45,40,1
"144",26,3,166295,13,5,11,2,5,2,0,2339,55,40,1
"145",59,3,147707,9,7,6,5,5,2,0,2339,40,40,1
"146",61,5,43554,3,5,7,2,3,2,0,2339,40,40,1
"147",60,8,358893,13,1,11,2,5,1,0,2339,40,40,1
"148",49,6,141058,10,1,5,2,5,2,0,2339,50,40,1
"149",34,5,25322,13,4,8,2,2,2,0,2339,40,NA,1
"150",25,5,77071,13,5,11,4,5,1,0,2339,35,40,1
"151",55,5,158702,10,5,2,2,3,1,0,2339,45,NA,1
"152",59,3,171328,9,6,12,3,3,1,0,2339,40,40,1
"153",28,8,381789,10,6,5,4,5,2,0,2339,40,40,1
"154",43,NA,152569,11,7,NA,2,5,1,0,2339,36,40,1
"155",56,7,346635,14,1,13,5,5,1,0,2339,60,40,1
"156",41,5,162140,9,1,4,2,5,2,0,2339,40,40,1
"157",42,5,191765,9,5,2,3,3,1,0,2339,40,39,1
"158",28,5,251905,15,5,11,2,5,2,0,2339,40,3,1
"159",40,7,33310,15,1,9,2,5,1,0,2339,35,40,1
"160",69,5,228921,13,7,11,2,5,2,0,2282,40,40,2
"161",66,3,36364,9,3,4,1,5,2,0,2267,40,40,1
"162",69,5,124930,3,3,8,1,5,2,0,2267,40,40,1
"163",55,3,176046,14,3,11,6,5,1,0,2267,40,40,1
"164",57,2,370890,9,5,2,2,5,2,0,2258,40,40,1
"165",20,7,157145,10,5,6,4,5,2,0,2258,10,40,1
"166",33,5,288825,9,1,4,2,5,2,0,2258,84,40,1
"167",30,7,257295,10,5,13,3,2,2,0,2258,40,36,1
"168",40,5,287983,13,5,14,2,2,1,0,2258,48,31,1
"169",38,5,101978,10,6,8,2,5,2,0,2258,55,40,2
"170",46,8,192779,12,1,2,5,5,2,0,2258,38,40,2
"171",29,5,135296,13,5,5,2,5,1,0,2258,45,40,2
"172",57,2,199114,13,5,2,2,5,2,0,2258,40,40,1
"173",39,5,156897,9,5,4,4,5,2,0,2258,42,40,2
"174",47,5,138107,13,1,5,2,5,2,0,2258,40,40,2
"175",26,5,279833,13,5,5,2,5,2,0,2258,45,40,2
"176",27,7,208577,9,5,4,2,5,2,0,2258,50,40,1
"177",23,5,102942,13,5,11,4,5,1,0,2258,40,40,2
"178",34,5,36385,14,5,11,2,5,2,0,2258,50,40,1
"179",33,5,176185,8,1,4,2,5,2,0,2258,42,40,1
"180",38,3,162613,14,5,11,2,5,1,0,2258,60,40,1
"181",57,5,121362,10,7,2,5,5,1,0,2258,38,40,2
"182",36,5,145933,9,5,5,2,5,2,0,2258,70,40,1
"183",44,2,29591,13,1,14,2,5,2,0,2258,40,40,2
"184",49,8,269417,16,5,5,2,5,1,0,2258,50,40,2
"185",44,6,178510,10,5,13,2,5,2,0,2258,60,40,1
"186",55,5,41108,10,7,6,2,5,2,0,2258,62,40,2
"187",45,5,187901,9,1,6,2,5,2,0,2258,44,40,2
"188",48,5,175070,9,1,5,2,5,1,0,2258,40,40,2
"189",31,5,263561,13,3,5,1,5,2,0,2246,45,40,2
"190",55,3,99131,9,3,11,3,5,1,0,2246,40,40,2
"191",70,7,143833,10,3,5,1,5,2,0,2246,40,40,2
"192",70,7,124449,14,3,5,1,5,2,0,2246,8,40,2
"193",73,5,336007,13,3,11,1,5,2,0,2246,40,40,2
"194",72,7,285408,15,3,11,1,5,2,0,2246,28,40,2
"195",31,5,327825,9,6,8,5,5,1,0,2238,40,40,1
"196",28,5,129460,6,7,2,5,5,1,0,2238,35,40,1
"197",23,7,258298,13,5,2,4,5,2,0,2231,40,40,2
"198",49,3,102359,5,7,7,5,5,2,0,2231,40,40,2
"199",27,3,92431,10,5,12,2,5,2,0,2231,40,40,2
"200",90,5,51744,9,5,9,2,3,2,0,2206,40,40,1
"201",68,5,166149,9,7,2,2,5,1,0,2206,30,40,1
"202",65,5,149811,9,1,2,5,5,1,0,2206,59,3,1
"203",65,NA,143118,9,7,NA,5,5,1,0,2206,10,40,1
"204",67,5,118363,13,1,5,2,5,1,0,2206,5,40,1
"205",66,3,362165,13,7,11,2,3,1,0,2206,25,40,1
"206",24,5,379066,10,5,2,2,5,2,0,2205,24,40,1
"207",44,7,171424,10,1,8,2,5,2,0,2205,35,40,1
"208",35,5,108293,10,5,2,4,5,1,0,2205,40,40,1
"209",20,5,107801,12,5,9,4,5,1,0,2205,18,40,1
"210",38,5,126675,9,1,4,2,5,2,0,2205,40,40,1
"211",39,5,155603,10,5,9,4,3,1,0,2205,40,40,1
"212",32,5,27882,10,5,8,3,5,1,0,2205,40,16,1
"213",42,5,242564,4,5,7,2,3,2,0,2205,40,40,1
"214",63,NA,234083,9,1,NA,2,5,1,0,2205,40,40,1
"215",42,6,23510,14,1,5,5,2,2,0,2201,60,20,2
"216",64,5,181232,7,3,4,1,5,2,0,2179,40,40,1
"217",28,5,166481,4,3,7,1,4,2,0,2179,40,34,1
"218",41,6,139916,11,3,13,1,4,2,0,2179,84,27,1
"219",41,7,144594,4,3,4,1,5,2,0,2179,40,40,1
"220",58,7,266707,2,3,15,1,5,2,0,2179,18,40,1
"221",59,8,303176,10,3,5,1,5,2,0,2179,40,40,1
"222",34,7,56460,9,3,6,6,5,1,0,2179,12,40,1
"223",45,5,167523,9,3,15,1,5,2,0,2179,45,40,1
"224",29,5,119004,9,3,2,6,5,1,0,2179,40,40,1
"225",47,5,175925,6,3,13,1,5,2,0,2179,52,40,1
"226",40,5,212847,10,3,8,1,5,2,0,2179,40,40,1
"227",47,7,191175,3,3,13,1,5,2,0,2179,50,27,1
"228",63,NA,83043,13,3,NA,1,5,2,0,2179,45,40,1
"229",41,7,170214,9,3,7,1,5,2,0,2179,40,40,1
"230",34,5,180714,10,3,15,1,3,2,0,2179,40,40,1
"231",66,NA,177351,13,3,NA,1,5,2,0,2174,40,40,2
"232",65,7,111483,10,3,5,1,5,2,0,2174,10,40,2
"233",70,5,282642,9,3,7,1,5,2,0,2174,40,40,2
"234",75,7,309955,15,3,11,1,5,2,0,2174,50,40,2
"235",65,8,215908,9,3,2,1,5,2,0,2174,40,40,2
"236",65,2,23494,10,3,5,1,3,2,0,2174,40,40,2
"237",73,5,147551,10,3,11,1,5,2,0,2174,50,40,2
"238",60,NA,141221,13,3,NA,1,2,2,0,2163,25,36,1
"239",68,7,116903,11,3,11,1,5,2,0,2149,40,40,1
"240",74,7,119129,9,3,13,1,5,2,0,2149,20,40,1
"241",43,5,143582,3,3,8,6,2,1,0,2129,72,NA,1
"242",19,7,342384,7,3,4,4,5,2,0,2129,55,40,1
"243",37,7,68899,9,3,4,1,5,2,0,2129,40,40,1
